year_month,row_id,agent_code,agent_age,agent_join_month,first_policy_sold_month,unique_proposals_last_7_days,unique_proposals_last_15_days,unique_proposals_last_21_days,unique_proposal,unique_quotations_last_7_days,unique_quotations_last_15_days,unique_quotations_last_21_days,unique_quotations,unique_customers_last_7_days,unique_customers_last_15_days,unique_customers_last_21_days,unique_customers,new_policy_count,ANBP_value,net_income,number_of_policy_holders,number_of_cash_payment_policies,new_policy_count_lag1,new_policy_count_lag2,new_policy_count_lag3,latest_policy_count,unique_proposals_week_4,unique_proposals_week_3,unique_proposals_week_2,unique_proposals_week_1,unique_quotations_week_4,unique_quotations_week_3,unique_quotations_week_2,unique_quotations_week_1,unique_customers_week_4,unique_customers_week_3,unique_customers_week_2,unique_customers_week_1
2024-01-01,8768.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,1.0,0.0,14.0,17.0,4.0,2.0,5.0,14.0,5.0,4.0,7.0,16.0,18.0,569520.0,111539.0,0.0,126.0,30.0,21.0,35.0,33.0,1.0,-1.0,14.0,3.0,4.0,-2.0,3.0,9.0,5.0,-1.0,3.0,9.0
2024-02-01,10007.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,6.0,17.0,27.0,0.0,3.0,4.0,20.0,2.0,3.0,9.0,14.0,33.0,2624589.0,617256.0,14.0,231.0,18.0,30.0,21.0,15.0,3.0,3.0,11.0,10.0,0.0,3.0,1.0,16.0,2.0,1.0,6.0,5.0
2024-03-01,10878.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,3.0,1.0,5.0,11.0,1.0,3.0,5.0,10.0,1.0,3.0,7.0,11.0,15.0,840540.0,188403.0,22.0,0.0,33.0,18.0,30.0,19.0,3.0,-2.0,4.0,6.0,1.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0
2024-04-01,11164.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,6.0,6.0,16.0,3.0,4.0,8.0,16.0,4.0,8.0,9.0,21.0,19.0,1116497.0,304531.0,84.0,133.0,15.0,33.0,18.0,32.0,0.0,6.0,0.0,10.0,3.0,1.0,4.0,8.0,4.0,4.0,1.0,12.0
2024-05-01,11856.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,1.0,6.0,11.0,23.0,4.0,6.0,8.0,20.0,5.0,8.0,14.0,27.0,32.0,1512256.0,212239.0,108.0,224.0,19.0,15.0,33.0,23.0,1.0,5.0,5.0,12.0,4.0,2.0,2.0,12.0,5.0,3.0,6.0,13.0
2024-06-01,12733.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,1.0,16.0,20.0,2.0,4.0,0.0,19.0,4.0,8.0,5.0,17.0,23.0,471684.0,97426.0,34.0,46.0,32.0,19.0,15.0,28.0,0.0,1.0,15.0,4.0,2.0,2.0,-4.0,19.0,4.0,4.0,-3.0,12.0
2024-07-01,13707.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,2.0,6.0,9.0,21.0,3.0,2.0,8.0,14.0,4.0,3.0,14.0,21.0,28.0,1102528.0,262281.0,84.0,112.0,23.0,32.0,19.0,19.0,2.0,4.0,3.0,12.0,3.0,-1.0,6.0,6.0,4.0,-1.0,11.0,7.0
2024-08-01,14468.0,003c1999,35.0,2020-08-01 00:00:00,12/1/2022,0.0,2.0,7.0,11.0,4.0,4.0,3.0,12.0,5.0,4.0,9.0,18.0,19.0,1431460.0,371189.0,54.0,76.0,28.0,23.0,32.0,0.0,0.0,2.0,5.0,4.0,4.0,0.0,-1.0,9.0,5.0,-1.0,5.0,9.0
2023-01-01,509.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,1.0,5.0,10.0,17.0,0.0,5.0,0.0,13.0,0.0,5.0,1.0,6.0,19.0,1677776.0,490300.0,24.0,19.0,0.0,0.0,0.0,18.0,1.0,4.0,5.0,7.0,0.0,5.0,-5.0,13.0,0.0,5.0,-4.0,5.0
2023-02-01,675.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,2.0,8.0,14.0,3.0,4.0,0.0,9.0,4.0,7.0,0.0,11.0,18.0,1567512.0,294100.0,44.0,18.0,19.0,0.0,0.0,0.0,3.0,-1.0,6.0,6.0,3.0,1.0,-4.0,9.0,4.0,3.0,-7.0,11.0
2023-03-01,1633.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,0.0,1.0,9.0,14.0,2.0,0.0,4.0,12.0,3.0,1.0,4.0,8.0,0.0,0.0,357611.0,8.0,54.0,18.0,19.0,0.0,0.0,0.0,1.0,8.0,5.0,2.0,-2.0,4.0,8.0,3.0,-2.0,3.0,4.0
2023-04-01,2627.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,4.0,3.0,11.0,1.0,4.0,3.0,10.0,3.0,7.0,9.0,19.0,0.0,0.0,127154.0,38.0,20.0,0.0,18.0,19.0,29.0,2.0,2.0,-1.0,8.0,1.0,3.0,-1.0,7.0,3.0,4.0,2.0,10.0
2023-05-01,2983.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,5.0,12.0,23.0,0.0,1.0,3.0,14.0,0.0,5.0,5.0,10.0,29.0,1789184.0,429359.0,20.0,87.0,0.0,0.0,18.0,31.0,3.0,2.0,7.0,11.0,0.0,1.0,2.0,11.0,0.0,5.0,0.0,5.0
2023-06-01,3899.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,0.0,20.0,27.0,4.0,2.0,6.0,19.0,4.0,6.0,6.0,16.0,31.0,226796.0,43453.0,0.0,31.0,29.0,0.0,0.0,33.0,3.0,-3.0,20.0,7.0,4.0,-2.0,4.0,13.0,4.0,2.0,0.0,10.0
2023-07-01,4171.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,6.0,15.0,25.0,0.0,6.0,8.0,15.0,1.0,7.0,14.0,22.0,33.0,1110351.0,169091.0,88.0,231.0,31.0,29.0,0.0,33.0,3.0,3.0,9.0,10.0,0.0,6.0,2.0,7.0,1.0,6.0,7.0,8.0
2023-08-01,5042.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,0.0,1.0,20.0,25.0,2.0,6.0,6.0,16.0,3.0,10.0,8.0,21.0,33.0,2521266.0,415108.0,21.0,264.0,33.0,31.0,29.0,28.0,0.0,1.0,19.0,5.0,2.0,4.0,0.0,10.0,3.0,7.0,-2.0,13.0
2023-09-01,5691.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,0.0,2.0,16.0,21.0,0.0,6.0,7.0,14.0,2.0,10.0,13.0,25.0,28.0,2314088.0,249504.0,75.0,84.0,33.0,33.0,31.0,32.0,0.0,2.0,14.0,5.0,0.0,6.0,1.0,7.0,2.0,8.0,3.0,12.0
2023-10-01,6362.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,1.0,5.0,18.0,26.0,3.0,5.0,3.0,20.0,5.0,5.0,6.0,16.0,32.0,993184.0,276039.0,16.0,192.0,28.0,33.0,33.0,0.0,1.0,4.0,13.0,8.0,3.0,2.0,-2.0,17.0,5.0,0.0,1.0,10.0
2023-11-01,7509.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,5.0,18.0,27.0,4.0,1.0,7.0,17.0,4.0,3.0,7.0,14.0,0.0,0.0,181064.0,56.0,105.0,32.0,28.0,33.0,37.0,2.0,3.0,13.0,9.0,4.0,-3.0,6.0,10.0,4.0,-1.0,4.0,7.0
2023-12-01,8130.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,6.0,19.0,28.0,3.0,0.0,4.0,12.0,4.0,1.0,5.0,10.0,37.0,170237.0,19777.0,0.0,259.0,0.0,32.0,28.0,35.0,2.0,4.0,13.0,9.0,3.0,-3.0,4.0,8.0,4.0,-3.0,4.0,5.0
2024-01-01,9213.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,1.0,1.0,20.0,26.0,2.0,3.0,1.0,8.0,2.0,5.0,7.0,14.0,35.0,582680.0,139975.0,56.0,105.0,37.0,0.0,32.0,30.0,1.0,0.0,19.0,6.0,2.0,1.0,-2.0,7.0,2.0,3.0,2.0,7.0
2024-02-01,9974.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,1.0,14.0,21.0,4.0,5.0,1.0,18.0,4.0,8.0,5.0,17.0,30.0,1556370.0,194309.0,34.0,120.0,35.0,37.0,0.0,19.0,3.0,-2.0,13.0,7.0,4.0,1.0,-4.0,17.0,4.0,4.0,-3.0,12.0
2024-03-01,10342.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,5.0,8.0,17.0,0.0,4.0,6.0,16.0,2.0,5.0,7.0,14.0,19.0,1315655.0,202257.0,0.0,19.0,30.0,35.0,37.0,22.0,2.0,3.0,3.0,9.0,0.0,4.0,2.0,10.0,2.0,3.0,2.0,7.0
2024-04-01,11049.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,0.0,0.0,10.0,15.0,2.0,5.0,7.0,15.0,2.0,9.0,13.0,24.0,22.0,1161380.0,121890.0,48.0,66.0,19.0,30.0,35.0,0.0,0.0,0.0,10.0,5.0,2.0,3.0,2.0,8.0,2.0,7.0,4.0,11.0
2024-05-01,12244.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,1.0,5.0,14.0,24.0,3.0,0.0,0.0,11.0,5.0,4.0,0.0,9.0,0.0,0.0,326866.0,0.0,270.0,22.0,19.0,30.0,18.0,1.0,4.0,9.0,10.0,3.0,-3.0,0.0,11.0,5.0,-1.0,-4.0,9.0
2024-06-01,13398.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,3.0,0.0,9.0,14.0,2.0,1.0,8.0,12.0,3.0,5.0,11.0,19.0,18.0,216882.0,64568.0,0.0,18.0,0.0,22.0,19.0,21.0,3.0,-3.0,9.0,5.0,2.0,-1.0,7.0,4.0,3.0,2.0,6.0,8.0
2024-07-01,14305.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,3.0,5.0,15.0,3.0,2.0,8.0,14.0,4.0,5.0,8.0,17.0,21.0,506835.0,126419.0,51.0,42.0,18.0,0.0,22.0,0.0,2.0,1.0,2.0,10.0,3.0,-1.0,6.0,6.0,4.0,1.0,3.0,9.0
2024-08-01,14853.0,00d5bda3,48.0,2019-08-01 00:00:00,3/1/2023,2.0,1.0,1.0,5.0,4.0,0.0,5.0,10.0,4.0,3.0,8.0,15.0,0.0,0.0,33388.0,15.0,54.0,21.0,18.0,0.0,0.0,2.0,-1.0,0.0,4.0,4.0,-4.0,5.0,5.0,4.0,-1.0,5.0,7.0
2023-01-01,628.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,5.0,0.0,8.0,3.0,4.0,4.0,12.0,5.0,4.0,10.0,19.0,9.0,254052.0,35626.0,0.0,54.0,0.0,0.0,0.0,20.0,2.0,3.0,-5.0,8.0,3.0,1.0,0.0,8.0,5.0,-1.0,6.0,9.0
2023-02-01,655.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,2.0,8.0,15.0,2.0,6.0,3.0,12.0,2.0,8.0,4.0,14.0,20.0,764140.0,196055.0,42.0,20.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,2.0,4.0,-3.0,9.0,2.0,6.0,-4.0,10.0
2023-03-01,1745.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,2.0,12.0,18.0,0.0,2.0,1.0,10.0,2.0,6.0,2.0,10.0,0.0,0.0,292277.0,40.0,50.0,20.0,9.0,0.0,26.0,2.0,0.0,10.0,6.0,0.0,2.0,-1.0,9.0,2.0,4.0,-4.0,8.0
2023-04-01,2476.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,5.0,7.0,19.0,4.0,1.0,8.0,16.0,5.0,5.0,9.0,19.0,26.0,2597868.0,710759.0,38.0,156.0,0.0,20.0,9.0,9.0,2.0,3.0,2.0,12.0,4.0,-3.0,7.0,8.0,5.0,0.0,4.0,10.0
2023-05-01,3071.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,2.0,3.0,8.0,0.0,0.0,4.0,5.0,1.0,0.0,4.0,5.0,9.0,379368.0,76084.0,5.0,81.0,26.0,0.0,20.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0,1.0,-1.0,4.0,1.0
2023-06-01,3705.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,3.0,2.0,0.0,6.0,4.0,4.0,3.0,12.0,4.0,7.0,5.0,16.0,0.0,0.0,144987.0,32.0,0.0,9.0,26.0,0.0,22.0,3.0,-1.0,-2.0,6.0,4.0,0.0,-1.0,9.0,4.0,3.0,-2.0,11.0
2023-07-01,4512.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,5.0,3.0,15.0,1.0,4.0,0.0,11.0,1.0,4.0,1.0,6.0,22.0,1865534.0,244325.0,18.0,110.0,0.0,9.0,26.0,29.0,2.0,3.0,-2.0,12.0,1.0,3.0,-4.0,11.0,1.0,3.0,-3.0,5.0
2023-08-01,5276.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,3.0,4.0,12.0,24.0,0.0,1.0,6.0,14.0,0.0,4.0,6.0,10.0,29.0,1010273.0,243840.0,30.0,203.0,22.0,0.0,9.0,25.0,3.0,1.0,8.0,12.0,0.0,1.0,5.0,8.0,0.0,4.0,2.0,4.0
2023-09-01,5582.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,3.0,2.0,18.0,24.0,1.0,6.0,5.0,22.0,2.0,6.0,7.0,15.0,25.0,2398425.0,359709.0,0.0,175.0,29.0,22.0,0.0,34.0,3.0,-1.0,16.0,6.0,1.0,5.0,-1.0,17.0,2.0,4.0,1.0,8.0
2023-10-01,6469.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,6.0,18.0,27.0,2.0,6.0,0.0,16.0,2.0,10.0,0.0,12.0,34.0,97750.0,13925.0,0.0,272.0,25.0,29.0,22.0,23.0,2.0,4.0,12.0,9.0,2.0,4.0,-6.0,16.0,2.0,8.0,-10.0,12.0
2023-11-01,7321.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,1.0,9.0,14.0,3.0,5.0,3.0,13.0,5.0,7.0,4.0,16.0,23.0,982284.0,109445.0,0.0,115.0,34.0,25.0,29.0,21.0,1.0,0.0,8.0,5.0,3.0,2.0,-2.0,10.0,5.0,2.0,-3.0,12.0
2023-12-01,8049.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,5.0,8.0,15.0,4.0,6.0,9.0,20.0,6.0,10.0,14.0,30.0,21.0,294546.0,61314.0,90.0,63.0,23.0,34.0,25.0,14.0,1.0,4.0,3.0,7.0,4.0,2.0,3.0,11.0,6.0,4.0,4.0,16.0
2024-01-01,8949.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,3.0,5.0,12.0,3.0,1.0,1.0,8.0,5.0,1.0,5.0,11.0,14.0,1095136.0,249554.0,0.0,84.0,21.0,23.0,34.0,17.0,1.0,2.0,2.0,7.0,3.0,-2.0,0.0,7.0,5.0,-4.0,4.0,6.0
2024-02-01,10119.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,0.0,0.0,9.0,13.0,1.0,5.0,2.0,11.0,3.0,7.0,8.0,18.0,17.0,1559155.0,435396.0,0.0,17.0,14.0,21.0,23.0,30.0,0.0,0.0,9.0,4.0,1.0,4.0,-3.0,9.0,3.0,4.0,1.0,10.0
2024-03-01,10571.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,6.0,14.0,23.0,1.0,3.0,8.0,20.0,2.0,6.0,9.0,17.0,30.0,1440390.0,162930.0,68.0,0.0,17.0,14.0,21.0,0.0,1.0,5.0,8.0,9.0,1.0,2.0,5.0,12.0,2.0,4.0,3.0,8.0
2024-04-01,11029.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,0.0,18.0,21.0,4.0,3.0,6.0,18.0,6.0,6.0,11.0,23.0,0.0,0.0,79791.0,0.0,175.0,30.0,17.0,14.0,13.0,1.0,-1.0,18.0,3.0,4.0,-1.0,3.0,12.0,6.0,0.0,5.0,12.0
2024-05-01,12619.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,3.0,4.0,11.0,3.0,6.0,6.0,16.0,3.0,10.0,11.0,24.0,13.0,1255371.0,191074.0,0.0,0.0,0.0,30.0,17.0,12.0,1.0,2.0,1.0,7.0,3.0,3.0,0.0,10.0,3.0,7.0,1.0,13.0
2024-06-01,12971.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,2.0,2.0,2.0,9.0,4.0,4.0,0.0,9.0,5.0,5.0,3.0,13.0,12.0,675396.0,175460.0,13.0,108.0,13.0,0.0,30.0,30.0,2.0,0.0,0.0,7.0,4.0,0.0,-4.0,9.0,5.0,0.0,-2.0,10.0
2024-07-01,13716.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,1.0,1.0,18.0,21.0,4.0,1.0,9.0,16.0,4.0,4.0,11.0,19.0,30.0,506790.0,97237.0,0.0,0.0,12.0,13.0,0.0,28.0,1.0,0.0,17.0,3.0,4.0,-3.0,8.0,7.0,4.0,0.0,7.0,8.0
2024-08-01,14677.0,012a3553,25.0,2019-05-01 00:00:00,10/1/2023,0.0,3.0,20.0,26.0,3.0,3.0,7.0,17.0,3.0,3.0,12.0,18.0,28.0,1710996.0,215739.0,0.0,140.0,30.0,12.0,13.0,0.0,0.0,3.0,17.0,6.0,3.0,0.0,4.0,10.0,3.0,0.0,9.0,6.0
2023-01-01,22.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,3.0,6.0,12.0,23.0,3.0,2.0,5.0,14.0,3.0,4.0,9.0,16.0,25.0,2224500.0,561647.0,0.0,75.0,0.0,0.0,0.0,27.0,3.0,3.0,6.0,11.0,3.0,-1.0,3.0,9.0,3.0,1.0,5.0,7.0
2023-02-01,809.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,1.0,2.0,11.0,19.0,0.0,5.0,1.0,7.0,2.0,5.0,6.0,13.0,27.0,644490.0,81558.0,26.0,108.0,25.0,0.0,0.0,25.0,1.0,1.0,9.0,8.0,0.0,5.0,-4.0,6.0,2.0,3.0,1.0,7.0
2023-03-01,1838.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,5.0,14.0,22.0,3.0,4.0,1.0,12.0,4.0,6.0,6.0,16.0,25.0,1897350.0,387058.0,32.0,125.0,27.0,25.0,0.0,12.0,2.0,3.0,9.0,8.0,3.0,1.0,-3.0,11.0,4.0,2.0,0.0,10.0
2023-04-01,2647.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,3.0,0.0,3.0,8.0,4.0,1.0,9.0,15.0,5.0,5.0,11.0,21.0,12.0,1185708.0,262777.0,84.0,72.0,25.0,27.0,25.0,27.0,3.0,-3.0,3.0,5.0,4.0,-3.0,8.0,6.0,5.0,0.0,6.0,10.0
2023-05-01,2733.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,1.0,5.0,8.0,19.0,2.0,5.0,1.0,17.0,3.0,9.0,2.0,14.0,27.0,810783.0,210850.0,56.0,243.0,12.0,25.0,27.0,24.0,1.0,4.0,3.0,11.0,2.0,3.0,-4.0,16.0,3.0,6.0,-7.0,12.0
2023-06-01,3456.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,5.0,12.0,20.0,3.0,1.0,6.0,15.0,3.0,1.0,10.0,14.0,24.0,231192.0,65774.0,42.0,0.0,27.0,12.0,25.0,0.0,2.0,3.0,7.0,8.0,3.0,-2.0,5.0,9.0,3.0,-2.0,9.0,4.0
2023-07-01,4058.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,4.0,11.0,21.0,2.0,5.0,7.0,19.0,4.0,8.0,12.0,24.0,0.0,0.0,13898.0,96.0,156.0,24.0,27.0,12.0,0.0,2.0,2.0,7.0,10.0,2.0,3.0,2.0,12.0,4.0,4.0,4.0,12.0
2023-08-01,5461.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,0.0,9.0,13.0,2.0,0.0,3.0,10.0,2.0,0.0,6.0,8.0,0.0,0.0,459635.0,24.0,17.0,0.0,24.0,27.0,17.0,2.0,-2.0,9.0,4.0,2.0,-2.0,3.0,7.0,2.0,-2.0,6.0,2.0
2023-09-01,5919.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,0.0,4.0,5.0,12.0,4.0,0.0,5.0,10.0,6.0,0.0,7.0,13.0,17.0,1547544.0,448572.0,52.0,68.0,0.0,0.0,24.0,19.0,0.0,4.0,1.0,7.0,4.0,-4.0,5.0,5.0,6.0,-6.0,7.0,6.0
2023-10-01,6740.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,3.0,0.0,9.0,17.0,0.0,2.0,1.0,14.0,0.0,2.0,4.0,6.0,19.0,594149.0,178088.0,6.0,19.0,17.0,0.0,0.0,20.0,3.0,-3.0,9.0,8.0,0.0,2.0,-1.0,13.0,0.0,2.0,2.0,2.0
2023-11-01,7231.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,3.0,7.0,14.0,0.0,0.0,6.0,9.0,2.0,4.0,9.0,15.0,20.0,1863640.0,250885.0,0.0,80.0,19.0,17.0,0.0,26.0,2.0,1.0,4.0,7.0,0.0,0.0,6.0,3.0,2.0,2.0,5.0,6.0
2023-12-01,7864.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,1.0,4.0,16.0,22.0,1.0,4.0,9.0,16.0,2.0,4.0,15.0,21.0,26.0,185120.0,49136.0,42.0,182.0,20.0,19.0,17.0,21.0,1.0,3.0,12.0,6.0,1.0,3.0,5.0,7.0,2.0,2.0,11.0,6.0
2024-01-01,9224.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,1.0,8.0,13.0,0.0,1.0,7.0,11.0,1.0,4.0,13.0,18.0,21.0,1037295.0,308724.0,18.0,42.0,26.0,20.0,19.0,0.0,2.0,-1.0,7.0,5.0,0.0,1.0,6.0,4.0,1.0,3.0,9.0,5.0
2024-02-01,9544.0,012f0e15,31.0,2019-06-01 00:00:00,4/1/2024,2.0,2.0,7.0,14.0,2.0,4.0,5.0,13.0,3.0,7.0,9.0,19.0,0.0,0.0,152362.0,0.0,92.0,21.0,26.0,20.0,14.0,2.0,0.0,5.0,7.0,2.0,2.0,1.0,8.0,3.0,4.0,2.0,10.0
